{abdomen}	ab,do,men
{and}	and
{atenolol}	a,te,nolol
{abrasion}	ab,ra,sion
{abscess}	ab,scess
{acetaminophen}	a,ce,ta,mino,phen
{acetamol}	a,ce,ta,mol
{acid}	a,cid
{actein}	ac,tein
{acute}	a,cute
{admission}	ad,mi,ssion
{air}	air
{albumin}	al,bu,min
{alkantin}	al,kan,tin
{allergy}	al,ler,gy
{aleviatin}	a,le,vi,atin
{ambu}	am,bu
{aminophylline}	a,mi,no,phyl,line
{ammonia}	am,mo,nia
{ampoule}	am,poule
{amputation}	am,pu,ta,tion
{amsulber}	am,sul,ber
{amylase}	amy,lase
{anal}	a,nal
{an}	an
{anbicyn}	an,bi,cyn
{ankle}	an,kle
{anti}	an,ti
{anxicam}	an,xi,cam
{appendicitis}	ap,pen,di,citis
{arrhythmia}	ar,rhy,th,mia
{aspirin}	as,pi,rin
{asthma}	asth,ma
{avena}	a,ve,na
{atanaal}	a,tan,aal
{atrolin}	a,tro,lin
{atropine}	a,tro,pine
{atrovent}	a,tro,vent
{auto}	au,to
{bacteria}	bac,te,ria
{baktar}	bak,tar
{balance}	ba,lance
{bath}	bath
{bagging}	bag,ging
{bed}	bed
{bedside}	bed,side
{bilirubin}	bi,li,ru,bin
{bfluid}	b,fluid
{biopsy}	bi,op,sy
{bipap}	bi,pap
{bisacodyl}	bi,sa,co,dyl
{bladder}	bla,dder
{bleeding}	bleed,ing
{block}	block
{blood}	blood
{body}	bo,dy
{bokey}	bo,key
{bone}	bone
{bosmin}	bos,min
{bottle}	bo,ttle
{bradycardia}	bra,dy,car,dia
{brain}	br,ain
{breathing}	brea,thing
{breast}	breast
{bricanyl}	bri,ca,nyl
{brown}	brown
{buscopan}	bus,co,pan
{by}	by
{ca}	ca
{cabg}	cabg
{calcium}	cal,cium
{call}	call
{calm}	calm
{cancer}	can,cer
{candida}	can,di,da
{cannula}	can,nu,la
{care}	care
{cas}	cas
{case}	case
{cata}	ca,ta
{cath}	cath
{cefe}	ce,fe
{cell}	cell
{cells}	cells
{cellulitis}	cellu,li,tis
{change}	change
{check}	check
{chest}	chest
{chillness}	chill,ness
{circulation}	cir,cu,la,tion
{citosol}	ci,to,sol
{clavicle}	cla,vi,cle
{clear}	clear
{clamp}	clamp
{cloudy}	clou,dy
{coffee}	co,ffee
{codeine}	co,de,ine
{colon}	co,lon
{coma}	co,ma
{collar}	co,llar
{complain}	com,plain
{compression}	com,pre,ssion
{conscious}	con,scious
{consult}	con,sult
{contrast}	con,trast
{control}	con,trol
{cordarone}	cor,da,rone
{cortef}	cor,tef
{cortisol}	cor,ti,sol
{count}	count
{chemo}	che,mo
{cover}	co,ver
{cold}	cold
{chase}	chase
{cravit}	cra,vit
{creatinine}	crea,ti,nine
{critical}	cri,ti,cal
{culture}	cul,ture
{cyst}	cyst
{cystostomy}	cys,tos,tomy
{cystoscopy}	cys,to,sco,py
{data}	da,ta
{dama}	da,ma
{de}	de
{debride}	de,bride
{decompression}	de,com,pre,ssion
{defect}	de,fect
{delirium}	de,li,rium
{dementia}	de,men,tia
{demerol}	de,me,rol
{diapine}	dia,pine
{diarrhea}	dia,rrhea
{diet}	diet
{diflucan}	di,flu,can
{dilantin}	di,lan,tin
{dilated}	di,lated
{digoxin}	di,go,xin
{diovan}	di,o,van
{diphenidol}	di,phe,ni,dol
{discectomy}	di,scec,tomy
{disease}	di,sease	
{distilled}	di,stilled
{dose}	dose
{double}	dou,ble
{down}	down
{drain}	drain
{dressing}	dre,ssing
{drip}	drip
{drug}	drug
{dulcolax}	dul,co,lax
{durogesic}	duro,ge,sic
{duty}	du,ty
{duodenostomy}	duo,de,nos,tomy
{dysfunction}	dys,func,tion
{ear}	ear
{elbow}	el,bow
{echo}	e,cho
{ectomy}	ec,tomy
{edema}	e,de,ma
{effusion}	e,ffu,sion
{endo}	en,do
{enema}	ene,ma
{enhanced}	en,hanced
{eurodin}	eu,ro,din
{epi}	epi
{epithelial}	e,pi,thel,ial
{evac}	e,vac
{excision}	ex,ci,sion
{facial}	fa,cial
{face}	face
{failure}	fai,lure
{family}	fa,mi,ly
{famotidine}	fa,mo,ti,dine
{fatty}	fat,ty
{feeding}	feed,ing
{femoral}	fe,mo,ral
{fentanyl}	fen,ta,nyl
{fever}	fe,ver
{finding}	find,ing
{fistula}	fi,stu,la
{fistulectomy}	fi,stu,lec,tomy
{fistulotomy}	fi,stu,lo,tomy
{fix}	fix
{flap}	flap
{fliud}	fli,ud
{flora}	flo,ra
{flow}	flow
{fluid}	flu,id
{flupine}	flu,pine
{foley}	fo,ley
{folina}	fo,li,na
{follow}	fo,llow
{foot}	foot
{for}	for
{four}	four
{fracture}	frac,ture
{free}	free
{fucole}	fu,cole
{full}	full
{function}	func,tion
